Group,Colour
Acidimicrobiia,#FAFD7CFF
Actinobacteria,#9632B8FF
Alphaproteobacteria,#D43F3AFF
Bacteroidia,#357EBDFF
Deltaproteobacteria,#c6ecde
Gammaproteobacteria,#EEA236FF
Nitrososphaeria,#2a752e
Oxyphotobacteria,#339900FF
Thermoplasmata,#FED439FF
Unknown Marinimicrobia (SAR406 clade),#E762D7FF
Dehalococcoidia,#7e7b52
Nitrospinia,#FDAF91FF
Planctomycetacia,#76ecfe
Verrucomicrobiae,#1a9000
BD2-11 terrestrial group,#afbd22
Calditrichia,#40b5bc
Ignavibacteria,#962c54
Kiritimatiellae,#2c5496
OM190,#f04b0e
Rhodothermia,#f0bc0e
Subgroup 22,#89819f
Thermoanaerobaculia,#ebcc65
Thermodesulfovibrionia,#5b912b
Unknown Latescibacteria,#dd447d
Holophagae,#e71837
Acidobacteriia,#ffd732
Phycisphaerae,#d7a036
Spirochaetia,#663399
Clostridia,#62eb96
Melainabacteria,#87244b
Negativicutes,#f0f209
Saccharimonadia,#ffc425
Unknown FCPU426,#d11141
Methanobacteria,#0080ff
Bathyarchaeia,#D08442
Odinarchaeia,#428ed0
Unknown Archaea,#8442d0
Woesearchaeia,#c02519